,new_user,user_loss,delta
2019-08-02,1662,714,948
2019-08-03,1931,791,1140
2019-08-04,1407,712,695
2019-08-05,1099,639,460
2019-08-06,1161,665,496
2019-08-07,1303,753,550
2019-08-08,1048,862,186
2019-08-09,1554,846,708
2019-08-10,1406,644,762
2019-08-11,1508,712,796
2019-08-12,1083,649,434
2019-08-13,1171,660,511
2019-08-14,1080,670,410
2019-08-15,969,618,351
2019-08-16,1166,692,474
2019-08-17,1560,681,879
2019-08-18,1231,713,518
2019-08-19,990,621,369
2019-08-20,833,598,235
2019-08-21,1006,670,336
2019-08-22,1068,671,397
2019-08-23,1262,644,618
2019-08-24,1489,737,752
2019-08-25,1237,690,547
2019-08-26,717,598,119
2019-08-27,779,609,170
2019-08-28,639,523,116
2019-08-29,814,550,264
2019-08-30,812,492,320
2019-08-31,1235,554,681
2019-09-01,1151,562,589
2019-09-02,780,474,306
2019-09-03,2554,851,1703
2019-09-04,1484,755,729
2019-09-05,996,697,299
2019-09-06,1306,743,563
2019-09-07,1585,771,814
2019-09-08,1122,696,426
2019-09-09,764,657,107
2019-09-10,765,683,82
2019-09-11,865,675,190
2019-09-12,798,783,15
2019-09-13,1817,944,873
2019-09-14,1548,816,732
2019-09-15,1282,770,512
2019-09-16,768,714,54
2019-09-17,1956,920,1036
2019-09-18,1092,828,264
2019-09-19,1053,911,142
2019-09-20,920,673,247
2019-09-21,1369,882,487
2019-09-22,984,711,273
